time_elapsed,bvp,baseline_cog
1.0,19471.060043839312,baseline
2.0,7746.039088461537,baseline
3.0,2316.7434430991952,baseline
4.0,2099.664647827797,baseline
5.0,2764.562401689708,baseline
6.0,1884.4221227840906,baseline
7.0,2494.641605590467,baseline
8.0,2894.5715734396854,baseline
9.0,2732.924136466043,baseline
10.0,2031.5659803715034,baseline
11.0,1963.8261812363264,baseline
12.0,1892.9729015472026,baseline
13.0,2086.2893048968954,baseline
16.0,1979.533248990385,baseline
17.0,1941.7923154540802,baseline
18.0,2734.968112438811,baseline
19.0,2062.7575547549227,baseline
20.0,2081.244896092657,baseline
21.0,2889.1528708699893,baseline
22.0,1466.3145835183566,baseline
23.0,1815.8433814178652,baseline
24.0,1806.7702691826926,baseline
25.0,1709.5941706232836,baseline
26.0,1618.5144140515733,baseline
27.0,2932.8081177209892,baseline
28.0,2456.550480310315,baseline
29.0,2545.0693400782015,baseline
30.0,1816.6421139248248,baseline
31.0,2331.305749006191,baseline
32.0,2036.6546710970285,baseline
33.0,1567.302229395336,baseline
34.0,1752.8389555157344,baseline
35.0,1601.5949421542612,baseline
36.0,1826.1600976486013,baseline
37.0,1704.4385173392918,baseline
38.0,1911.604174624126,baseline
39.0,1777.4745567797793,baseline
40.0,1958.9947929982518,baseline
41.0,1811.3347305730115,baseline
42.0,1992.8270435882864,baseline
43.0,1987.8801952613694,baseline
44.0,1643.2908417307692,baseline
45.0,1773.9249735511803,baseline
46.0,2044.9197178103152,baseline
47.0,1979.5999730577664,baseline
48.0,1565.1565188024476,baseline
49.0,1856.9593027370481,baseline
50.0,1725.4641909265736,baseline
51.0,1701.067951314993,baseline
52.0,1644.0269858784966,baseline
53.0,1758.3619504072992,baseline
54.0,2625.9861923601393,baseline
55.0,1763.673427998883,baseline
56.0,1922.554157089161,baseline
57.0,2001.4759187450543,baseline
58.0,2033.5113488898603,baseline
59.0,2092.0185025555093,baseline
60.0,2310.1674761756994,baseline
61.0,2228.6463690685664,baseline
62.0,2153.433297556818,baseline
63.0,1607.153446176046,baseline
64.0,1859.6171043356642,baseline
65.0,1905.3519843504168,baseline
66.0,1773.7870357736012,baseline
67.0,1914.5448993855607,baseline
68.0,1812.4530936232513,baseline
69.0,1623.0162211050595,baseline
70.0,1487.746499541084,baseline
71.0,1902.0636658055207,baseline
72.0,1668.1082955375875,baseline
73.0,2114.8219565004883,baseline
74.0,2458.11340055507,baseline
75.0,1752.1853078853048,baseline
76.0,2087.9072306337416,baseline
77.0,2043.2433280314667,baseline
78.0,2013.258794838287,baseline
79.0,1713.308130852302,baseline
80.0,1664.91823138986,baseline
81.0,1918.4303541591028,baseline
82.0,2176.5217144143357,baseline
83.0,2148.050148498813,baseline
84.0,1976.4768708304196,baseline
85.0,2016.8013686635945,baseline
86.0,2340.4643851311193,baseline
87.0,2384.117189093702,baseline
88.0,1931.7868973076925,baseline
89.0,1733.4204662244565,baseline
90.0,1987.1237751704546,baseline
91.0,2067.8389765954475,baseline
92.0,1584.6594407867133,baseline
93.0,1736.8098518314357,baseline
94.0,1952.9943514807696,baseline
95.0,1923.4987269073222,baseline
96.0,2018.6584113798078,baseline
97.0,2003.8331837992835,baseline
98.0,1970.2649578749995,baseline
99.0,2195.110481797235,baseline
100.0,2433.511584644231,baseline
101.0,2361.7578524475166,baseline
102.0,2190.6832595144233,baseline
103.0,1816.9433312749618,baseline
104.0,1897.3230276971158,baseline
105.0,2091.622606477215,baseline
106.0,2139.4184074375,baseline
107.0,1944.8551532616489,baseline
108.0,2163.876498903846,baseline
109.0,2750.228240762929,baseline
110.0,2496.7199588317308,baseline
111.0,2395.072058791603,baseline
112.0,2398.7402072788464,baseline
113.0,2425.6219586226316,baseline
114.0,2264.4137977884616,baseline
115.0,2254.2722420378905,baseline
116.0,2478.5310815192306,baseline
117.0,2295.1340375076807,baseline
118.0,1975.8750932425214,baseline
119.0,2364.6968335040115,baseline
120.0,2212.792964502242,baseline
121.0,2271.45336077829,baseline
122.0,2497.462435084135,baseline
1.0,27154.03983524647,cog
2.0,12606.680353535841,cog
3.0,5929.800651775823,cog
4.0,5569.921085598776,cog
5.0,5004.213156221198,cog
6.0,2722.87667847028,cog
7.0,12422.995589331096,cog
8.0,4699.644332915209,cog
9.0,4729.833278787879,cog
10.0,2627.5024900480767,cog
11.0,3096.551557817809,cog
12.0,5664.743511708916,cog
13.0,2749.0303340687988,cog
16.0,2765.4177857998257,cog
17.0,4129.21335407066,cog
18.0,1965.253877854021,cog
19.0,1941.9042043662434,cog
20.0,4486.920990004371,cog
21.0,6755.342294572456,cog
22.0,2498.683305616259,cog
23.0,3753.120753553973,cog
24.0,3536.280608701923,cog
25.0,3552.0422034678586,cog
26.0,2851.863410930944,cog
27.0,3204.935970204348,cog
28.0,6435.3623081206315,cog
29.0,2960.9968836521907,cog
30.0,3459.6365699344406,cog
31.0,2091.728931424848,cog
32.0,3470.537803894231,cog
33.0,5708.740990983569,cog
34.0,2156.683795576923,cog
35.0,3566.9290423544194,cog
36.0,4119.483853924824,cog
37.0,2320.3762690127073,cog
38.0,2625.6238855594406,cog
39.0,3105.6411229949267,cog
40.0,1931.3086410402102,cog
41.0,1974.3543953823958,cog
42.0,2656.399887062937,cog
43.0,1822.494516464181,cog
44.0,1969.1975357080416,cog
45.0,2178.8271681469073,cog
46.0,2990.4012266739514,cog
47.0,2497.3066414327604,cog
48.0,1770.4183141215033,cog
49.0,2063.6896811990878,cog
50.0,2042.2207972945805,cog
51.0,2456.6981354605964,cog
52.0,3067.4494914816432,cog
53.0,1692.1472475026762,cog
54.0,1883.6685561756988,cog
55.0,1584.7679370432431,cog
56.0,2187.2574279895102,cog
57.0,1977.8164925336312,cog
58.0,1647.2900758653848,cog
59.0,6240.395293343573,cog
60.0,1914.5037527491259,cog
61.0,3512.8186535446616,cog
62.0,1769.7752007648598,cog
63.0,1608.1139409393472,cog
64.0,3875.8036157998254,cog
65.0,1386.1813536889633,cog
66.0,1744.0193342351397,cog
67.0,3524.7295872643485,cog
68.0,3162.8675917613637,cog
69.0,3567.163874766095,cog
70.0,2708.797643736888,cog
71.0,2443.617529837546,cog
72.0,4611.821550572553,cog
73.0,2011.8367071079456,cog
74.0,4593.34207409091,cog
75.0,2091.4462454173067,cog
76.0,3772.241348513986,cog
77.0,4087.804548843272,cog
78.0,1786.9178177054198,cog
79.0,6672.9408024205195,cog
80.0,2743.16957173514,cog
81.0,4773.62074830331,cog
82.0,2777.340462788461,cog
83.0,3071.947799362286,cog
84.0,5653.039173763112,cog
85.0,2255.8142162826416,cog
86.0,4402.834963566434,cog
87.0,6410.444820080994,cog
88.0,2859.8848429676573,cog
89.0,3170.9334608015633,cog
90.0,2907.1006806643354,cog
91.0,8317.236894549176,cog
92.0,3213.044491875,cog
93.0,4238.593948252107,cog
94.0,5238.1404750218535,cog
95.0,3570.121374565936,cog
96.0,2279.8975622552443,cog
97.0,2206.243048214867,cog
98.0,2945.24289131993,cog
99.0,3207.682670008844,cog
100.0,3706.607288885489,cog
101.0,3032.5503152213378,cog
102.0,4230.25971194056,cog
103.0,2228.7730807289486,cog
104.0,2819.9678635489513,cog
105.0,2938.7236836987386,cog
106.0,2299.356765891608,cog
107.0,3507.482462602989,cog
108.0,2159.6296729720275,cog
109.0,2365.0208296653163,cog
110.0,4771.025327762238,cog
111.0,2345.8689168598426,cog
112.0,3796.6098662980758,cog
113.0,1872.674679718847,cog
114.0,2581.3992024737763,cog
115.0,4061.995019941349,cog
116.0,3031.9916006599656,cog
117.0,2538.170219973933,cog
118.0,2386.0764773251744,cog
119.0,2185.589461099474,cog
120.0,3954.953387465035,cog
121.0,3310.4650877158683,cog
122.0,3633.8798889860136,cog
